district_nepali,district,confirmed,deaths,recovered
बाग्लुङ,baglung,2,0,2
बैतडी,baitadi,5,0,0
बाँके,banke,146,1,21
बारा,bara,35,0,1
बर्दिया,bardiya,4,0,0
भोजपुर,bhojpur,1,0,1
चितवन,chitwan,6,0,2
डडेल्धुरा,dadeldhura,1,0,0
दैलेख,dailekh,8,0,0
दाङ,dang,5,0,0
धादिङ,dhading,2,0,0
धनकुटा,dhankuta,7,0,0
धनुषा,dhanusha,12,0,0
गुल्मी,gulmi,2,1,0
झापा,jhapa,36,0,2
कैलाली,kailali,7,0,4
कञ्चनपुर,kanchanpur,1,0,1
कपिलवस्तु,kapilbastu,83,0,10
काभ्रेपलाञ्चोक,kavre,1,0,0
खोटाङ,khotang,1,0,0
लमजुङ,lamjung,1,0,0
महोत्तरी,mahottari,3,0,0
मकवानपुर,makwanpur,3,0,0
मोरङ,morang,6,0,0
नवलपरासी (पूर्व),nawalparasi1,3,0,0
नवलपरासी (पश्चिम),nawalparasi2,5,0,0
नुवाकोट,nuwakot,1,0,0
पर्सा,parsa,94,0,7
रामेछाप,ramechhap,1,0,0
रौतहट,rautahat,49,0,3
रुपन्देही,rupandehi,43,0,1
सप्तरी,saptari,4,0,0
सर्लाही,sarlahi,33,0,0
सिन्धुली,sindhuli,1,0,0
सिन्धुपाल्चोक,sindhupalchowk,1,1,0
सिरहा,siraha,1,0,0
सुनसरी,sunsari,3,0,0
सुर्खेत,surkhet,3,0,0
उदयपुर,udayapur,33,0,23
काठमाडौं,kathmandu,17,0,7
भक्तपुर,bhaktapur,4,0,2
ललितपुर,lalitpur,1,0,0
